Utc,Role,Machine,Fps,Kbps,FramesTotal,FramesDropped,BytesTotal,WorkingSetMB,PrivateMB,DeltaFps,HangSuspect,LagSuspect,ZeroFpsStreak,SessionSeconds,TimerSkewMs
2026-09-12T06:17:31.8298547+00:00,host,DESKTOP-4DU3C4H,0,0,0,0,0,323.6,218.0,0,0,0,0,1,0
2026-09-12T06:17:32.8236531+00:00,host,DESKTOP-4DU3C4H,6,11003,7,14,1547307,335.8,228.1,6,0,0,0,2,0
2026-09-12T06:17:33.8243088+00:00,host,DESKTOP-4DU3C4H,6,11003,7,14,1547307,335.8,228.1,0,0,0,0,3,0
2026-09-12T06:17:34.8339990+00:00,host,DESKTOP-4DU3C4H,1,2518,10,15,2210983,335.8,225.5,-5,0,0,0,4,0
2026-09-12T06:17:35.8377813+00:00,host,DESKTOP-4DU3C4H,1,2518,10,15,2210983,335.8,219.7,0,0,0,0,5,15
2026-09-12T06:17:36.8511525+00:00,host,DESKTOP-4DU3C4H,2,2696,13,16,2874481,324.2,207.7,1,0,0,0,6,16
2026-09-12T06:17:37.8578842+00:00,host,DESKTOP-4DU3C4H,15,25603,29,50,6225312,317.3,201.0,13,0,0,0,7,0
2026-09-12T06:17:38.8628886+00:00,host,DESKTOP-4DU3C4H,14,20144,44,82,8861693,325.9,209.6,-1,0,0,0,8,0
2026-09-12T06:17:39.8521505+00:00,host,DESKTOP-4DU3C4H,8,7349,52,93,9823443,318.5,200.4,-6,0,0,0,9,0
2026-09-12T06:17:40.8601119+00:00,host,DESKTOP-4DU3C4H,8,7684,60,113,10783979,321.0,202.3,0,0,0,0,10,0
2026-09-12T06:17:41.8615008+00:00,host,DESKTOP-4DU3C4H,16,15895,76,152,12770903,321.1,196.2,8,0,0,0,11,0
2026-09-12T06:17:42.8538616+00:00,host,DESKTOP-4DU3C4H,11,11675,88,180,14298880,316.1,191.2,-5,0,0,0,12,0
2026-09-12T06:17:43.8516398+00:00,host,DESKTOP-4DU3C4H,15,14122,103,217,16118893,324.3,194.1,4,0,0,0,13,0
2026-09-12T06:17:44.8692758+00:00,host,DESKTOP-4DU3C4H,13,13494,117,245,17910231,329.3,199.3,-2,0,0,0,14,16
2026-09-12T06:17:45.8821958+00:00,host,DESKTOP-4DU3C4H,15,15008,132,288,19816232,322.0,191.8,2,0,0,0,15,15
2026-09-12T06:17:46.8881597+00:00,host,DESKTOP-4DU3C4H,6,6510,139,299,20706501,338.6,208.4,-9,0,1,0,16,0
2026-09-12T06:17:47.8914249+00:00,host,DESKTOP-4DU3C4H,2,1866,141,299,20961615,327.8,194.1,-4,0,0,0,17,0
2026-09-12T06:17:48.8841381+00:00,host,DESKTOP-4DU3C4H,4,3909,145,299,21472761,323.7,190.3,2,0,0,0,18,0
2026-09-12T06:17:49.8849868+00:00,host,DESKTOP-4DU3C4H,4,3594,149,299,21985383,324.2,190.2,0,0,0,0,19,0
2026-09-12T06:17:50.8937685+00:00,host,DESKTOP-4DU3C4H,9,8853,158,317,23109771,315.9,181.9,5,0,0,0,20,0
2026-09-12T06:17:51.8948747+00:00,host,DESKTOP-4DU3C4H,9,8853,158,317,23109771,321.1,186.0,0,0,0,0,21,0
2026-09-12T06:17:52.8923222+00:00,host,DESKTOP-4DU3C4H,12,11631,172,351,24813727,337.9,203.0,3,0,0,0,22,0
2026-09-12T06:17:53.8939866+00:00,host,DESKTOP-4DU3C4H,13,8648,186,377,25944504,316.9,181.6,1,0,0,0,23,0
2026-09-12T06:17:54.8841372+00:00,host,DESKTOP-4DU3C4H,14,8895,201,410,27160849,334.8,199.4,1,0,0,0,24,0
2026-09-12T06:17:55.9023982+00:00,host,DESKTOP-4DU3C4H,13,22244,214,446,30027483,323.8,188.6,-1,0,0,0,25,16
2026-09-12T06:17:56.9011407+00:00,host,DESKTOP-4DU3C4H,16,30659,231,463,34039951,331.2,195.7,3,0,0,0,26,0
2026-09-12T06:17:57.9020961+00:00,host,DESKTOP-4DU3C4H,16,31376,247,477,37961950,322.5,187.2,0,0,0,0,27,0
2026-09-12T06:17:58.9029708+00:00,host,DESKTOP-4DU3C4H,15,25943,262,494,41256656,322.1,187.0,-1,0,0,0,28,0
2026-09-12T06:17:59.8990764+00:00,host,DESKTOP-4DU3C4H,15,15903,277,533,43276379,334.7,199.8,0,0,0,0,29,0
2026-09-12T06:18:00.9014301+00:00,host,DESKTOP-4DU3C4H,15,24171,293,568,46436717,326.6,191.3,0,0,0,0,30,0
2026-09-12T06:18:01.9036037+00:00,host,DESKTOP-4DU3C4H,15,26239,308,607,49821585,332.8,198.3,0,0,0,0,31,0
2026-09-12T06:18:02.9085323+00:00,host,DESKTOP-4DU3C4H,16,29026,324,628,53504304,332.6,198.1,1,0,0,0,32,0
2026-09-12T06:18:03.9129495+00:00,host,DESKTOP-4DU3C4H,16,31160,340,672,57523936,325.0,190.4,0,0,0,0,33,15
2026-09-12T06:18:04.9283587+00:00,host,DESKTOP-4DU3C4H,14,20026,354,701,60027149,315.5,180.1,-2,0,0,0,34,16
2026-09-12T06:18:05.9351936+00:00,host,DESKTOP-4DU3C4H,14,14604,368,728,61909190,314.6,180.0,0,0,0,0,35,0
2026-09-12T06:18:06.9403491+00:00,host,DESKTOP-4DU3C4H,16,21173,384,772,64555801,314.4,179.7,2,0,0,0,36,0
2026-09-12T06:18:07.9417468+00:00,host,DESKTOP-4DU3C4H,16,24392,400,815,67604800,322.9,188.6,0,0,0,0,37,0
2026-09-12T06:18:08.9406414+00:00,host,DESKTOP-4DU3C4H,16,23881,416,859,70589951,315.5,181.1,0,0,0,0,38,0
2026-09-12T06:18:09.9392878+00:00,host,DESKTOP-4DU3C4H,16,23455,432,903,73565788,314.1,179.2,0,0,0,0,39,0
2026-09-12T06:18:10.9366226+00:00,host,DESKTOP-4DU3C4H,16,23897,448,946,76552958,322.2,187.4,0,0,0,0,40,0
2026-09-12T06:18:11.9314015+00:00,host,DESKTOP-4DU3C4H,16,24039,464,991,79557843,322.4,187.7,0,0,0,0,41,0
2026-09-12T06:18:12.9371762+00:00,host,DESKTOP-4DU3C4H,16,24148,480,1034,82576311,323.2,188.4,0,0,0,0,42,0
2026-09-12T06:18:13.9310505+00:00,host,DESKTOP-4DU3C4H,16,24316,496,1078,85615819,324.3,190.3,0,0,0,0,43,0
2026-09-12T06:18:14.9304723+00:00,host,DESKTOP-4DU3C4H,16,24610,512,1121,88692117,330.4,198.2,0,0,0,0,44,0
2026-09-12T06:18:15.9419001+00:00,host,DESKTOP-4DU3C4H,16,22403,528,1165,91492490,324.3,190.2,0,0,0,0,45,0
2026-09-12T06:18:16.9415188+00:00,host,DESKTOP-4DU3C4H,16,20301,545,1212,94149412,314.8,180.5,0,0,0,0,46,0
